NOM,EPCI,F18-24
L'Abergement-Clémenciat,200069193,14
L'Abergement-de-Varey,240100883,5
Ambérieu-en-Bugey,240100883,681
Ambérieux-en-Dombes,200042497,50
Ambléon,200040350,2
Ambronay,240100883,78
Ambutrix,240100883,24
Andert-et-Condon,200040350,8
Anglefort,200070852,22
Apremont,200042935,5
Aranc,200042935,5
Arandas,240100883,5
Arbent,200042935,90
Arboys en Bugey,200040350,21
Arbigny,200071371,6
Argis,240100883,14
Armix,200040350,1
Ars-sur-Formans,200042497,44
Artemare,200040350,34
Asnières-sur-Saône,200071371,0
Attignat,200071751,93
Bâgé-Dommartin,200071371,102
Bâgé-le-Châtel,200071371,28
Balan,240100610,156
Baneins,200069193,11
Beaupont,200071751,11
Beauregard,200042497,26
Bellignat,200042935,155
Béligneux,240100610,107
Valserhône,240100891,562
Belley,200040350,274
Belleydoux,200042935,4
Valromey-sur-Séran,200040350,16
Bénonces,240100883,3
Bény,200071751,17
Béréziat,200071751,11
Bettant,240100883,18
Bey,200070555,5
Beynost,240100800,155
Billiat,240100891,21
Birieux,200069193,3
Biziat,200070555,23
Blyes,240100883,26
La Boisse,240100610,95
Boissey,200071371,5
Bolozon,200042935,0
Bouligneux,200069193,12
Bourg-en-Bresse,200071751,2226
Bourg-Saint-Christophe,240100883,27
Boyeux-Saint-Jérôme,200029999,5
Boz,200071371,13
Brégnier-Cordon,200040350,27
Brénod,200042935,11
Brens,200040350,28
Bressolles,240100610,23
Brion,200042935,19
Briord,240100883,26
Buellas,200071751,33
La Burbanche,200040350,2
Ceignes,200042935,8
Cerdon,200029999,29
Certines,200071751,48
Cessy,240100750,160
Ceyzériat,200071751,80
Ceyzérieu,200040350,20
Chalamont,200069193,66
Chaleins,200070118,47
Chaley,240100883,5
Challes-la-Montagne,200029999,3
Challex,240100750,36
Champagne-en-Valromey,200040350,14
Champdor-Corcelles,200042935,14
Champfromier,240100891,12
Chanay,240100891,20
Chaneins,200069193,26
Chanoz-Châtenay,200070555,17
La Chapelle-du-Châtelard,200069193,11
Charix,200042935,5
Charnoz-sur-Ain,240100883,31
Château-Gaillard,240100883,56
Châtenay,200069193,12
Châtillon-la-Palud,200069193,37
Châtillon-sur-Chalaronne,200069193,174
Chavannes-sur-Reyssouze,200071371,16
Nivigne et Suran,200071751,28
Chaveyriat,200070555,32
Chazey-Bons,200040350,29
Chazey-sur-Ain,240100883,37
Cheignieu-la-Balme,200040350,5
Chevillard,200042935,1
Chevroux,200071371,17
Chevry,240100750,43
Chézery-Forens,240100750,14
Civrieux,200042497,59
Cize,200071751,4
Cleyzieu,240100883,0
Coligny,200071751,15
Collonges,240100750,71
Colomieu,200040350,3
Conand,240100883,2
Condamine,200042935,5
Condeissiat,200069193,18
Confort,240100891,10
Confrançon,200071751,35
Contrevoz,200040350,6
Conzieu,200040350,2
Corbonod,200070852,29
Corlier,200042935,6
Cormoranche-sur-Saône,200070555,24
Cormoz,200071751,14
Corveissiat,200071751,10
Courmangoux,200071751,9
Courtes,200071751,5
Crans,200069193,2
Bresse Vallons,200071751,65
Cressin-Rochefort,200040350,8
Crottet,200070555,50
Crozet,240100750,46
Cruzilles-lès-Mépillat,200070555,25
Culoz-Béon,200040350,96
Curciat-Dongalon,200071751,13
Curtafond,200071751,23
Cuzieu,200040350,13
Dagneux,240100610,174
Divonne-les-Bains,240100750,202
Dompierre-sur-Veyle,200071751,27
Dompierre-sur-Chalaronne,200069193,21
Domsure,200071751,15
Dortan,200042935,48
Douvres,240100883,29
Drom,200071751,4
Druillat,200071751,33
Échallon,200042935,11
Échenevex,240100750,30
Évosges,200042935,0
Faramans,240100883,24
Fareins,200042497,67
Farges,240100750,27
Feillens,200071371,80
Ferney-Voltaire,240100750,361
Flaxieu,200040350,1
Foissiat,200071751,56
Francheleins,200070118,33
Frans,200042497,49
Garnerans,200070118,21
Genouilleux,200070118,10
Béard-Géovreissiat,200042935,20
Géovreisset,200042935,27
Gex,240100750,411
Giron,240100891,4
Gorrevod,200071371,17
Grand-Corent,200071751,4
Grièges,200070555,40
Grilly,240100750,14
Groissiat,200042935,24
Guéreins,200070118,37
Hautecourt-Romanèche,200071751,19
Plateau d'Hauteville,200042935,165
Haut Valromey,200040350,10
Illiat,200070118,12
Injoux-Génissiat,240100891,29
Innimond,240100883,3
Izenave,200042935,4
Izernore,200042935,57
Izieu,200040350,4
Jassans-Riottier,200040590,225
Jasseron,200071751,43
Jayat,200071751,34
Journans,200071751,8
Joyeux,240100883,4
Jujurieux,200029999,59
Labalme,200029999,8
Lagnieu,240100883,204
Laiz,200070555,33
Le Poizat-Lalleyriat,200042935,20
Lantenay,200042935,3
Lapeyrouse,200069193,6
Lavours,200040350,6
Léaz,240100750,14
Lélex,240100750,5
Lent,200071751,34
Lescheroux,200071751,20
Leyment,240100883,35
Leyssard,200042935,2
Surjoux-Lhopital,240100891,3
Lhuis,240100883,19
Lompnas,240100883,3
Loyettes,240100883,96
Lurcy,200070118,7
Magnieu,200040350,8
Maillat,200042935,19
Malafretaz,200071751,46
Mantenay-Montlin,200071751,5
Manziat,200071371,50
Marboz,200071751,59
Marchamp,240100883,1
Marignieu,200040350,7
Marlieux,200069193,41
Marsonnas,200071751,28
Martignat,200042935,42
Massieux,200042497,73
Massignieu-de-Rives,200040350,9
Matafelon-Granges,200042935,12
Meillonnas,200071751,26
Mérignat,200029999,2
Messimy-sur-Saône,200070118,33
Meximieux,240100883,302
Bohas-Meyriat-Rignat,200071751,17
Mézériat,200070555,60
Mijoux,240100750,6
Mionnay,200069193,89
Miribel,240100800,347
Misérieux,200042497,113
Mogneneins,200070118,13
Montagnat,200071751,53
Montagnieu,240100883,13
Montanges,240100891,5
Montceaux,200070118,25
Montcet,200071751,23
Le Montellier,240100883,9
Monthieux,200069193,20
Montluel,240100610,331
Montmerle-sur-Saône,200070118,102
Montracol,200071751,27
Montréal-la-Cluse,200042935,114
Montrevel-en-Bresse,200071751,89
Nurieux-Volognat,200042935,30
Murs-et-Gélignieux,200040350,5
Nantua,200042935,138
Neuville-les-Dames,200069193,41
Neuville-sur-Ain,200029999,40
Les Neyrolles,200042935,21
Neyron,240100800,70
Niévroz,240100610,55
Nivollet-Montgriffon,240100883,3
Oncieu,240100883,1
Ordonnaz,240100883,1
Ornex,240100750,126
Outriaz,200042935,2
Oyonnax,200042935,634
Ozan,200071371,23
Parcieux,200042497,57
Parves et Nattages,200040350,20
Péron,240100750,72
Péronnas,200071751,205
Pérouges,240100883,40
Perrex,200070555,19
Peyriat,200042935,3
Peyrieu,200040350,25
Peyzieux-sur-Saône,200070118,15
Pirajoux,200071751,12
Pizay,240100610,23
Plagne,240100891,0
Le Plantay,200069193,13
Polliat,200071751,53
Pollieu,200040350,1
Poncin,200029999,55
Pont-d'Ain,200029999,90
Pont-de-Vaux,200071371,79
Pont-de-Veyle,200070555,85
Port,200042935,22
Pougny,240100750,26
Pouillat,200071751,4
Prémeyzel,200040350,1
Prémillieu,200042935,1
Prévessin-Moëns,240100750,242
Priay,200029999,41
Ramasse,200071751,6
Rancé,200042497,19
Relevant,200069193,10
Replonges,200071371,76
Revonnas,200071751,22
Reyrieux,200042497,162
Reyssouze,200071371,22
Rignieux-le-Franc,240100883,19
Romans,200069193,25
Rossillon,200040350,2
Ruffieu,200040350,4
Saint-Alban,200029999,9
Saint-André-de-Bâgé,200071371,21
Saint-André-de-Corcy,200069193,129
Saint-André-d'Huiriat,200070555,18
Saint-André-le-Bouchoux,200069193,9
Saint-André-sur-Vieux-Jonc,200071751,24
Saint-Bénigne,200071371,27
Groslée-Saint-Benoit,200040350,24
Saint-Bernard,200042497,37
Sainte-Croix,240100610,15
Saint-Cyr-sur-Menthon,200070555,38
Saint-Denis-lès-Bourg,200071751,149
Saint-Denis-en-Bugey,240100883,69
Saint-Didier-d'Aussiat,200071751,23
Saint-Didier-de-Formans,200042497,51
Saint-Didier-sur-Chalaronne,200070118,96
Saint-Éloi,240100883,7
Saint-Étienne-du-Bois,200071751,62
Saint-Étienne-sur-Chalaronne,200070118,33
Saint-Étienne-sur-Reyssouze,200071371,13
Sainte-Euphémie,200042497,45
Saint-Genis-Pouilly,240100750,442
Saint-Genis-sur-Menthon,200070555,14
Saint-Georges-sur-Renon,200069193,4
Saint-Germain-de-Joux,240100891,11
Saint-Germain-les-Paroisses,200040350,6
Saint-Germain-sur-Renon,200069193,9
Saint-Jean-de-Gonville,240100750,46
Saint-Jean-de-Niost,240100883,42
Saint-Jean-de-Thurigneux,200042497,17
Saint-Jean-le-Vieux,200029999,59
Saint-Jean-sur-Reyssouze,200071751,24
Saint-Jean-sur-Veyle,200070555,29
Sainte-Julie,240100883,25
Saint-Julien-sur-Reyssouze,200071751,23
Saint-Julien-sur-Veyle,200070555,16
Saint-Just,200071751,13
Saint-Laurent-sur-Saône,200070308,80
Saint-Marcel,200069193,50
Saint-Martin-de-Bavel,200040350,14
Saint-Martin-du-Frêne,200042935,31
Saint-Martin-du-Mont,200071751,44
Saint-Martin-le-Châtel,200071751,23
Saint-Maurice-de-Beynost,240100800,156
Saint-Maurice-de-Gourdans,240100883,67
Saint-Maurice-de-Rémens,240100883,19
Saint-Nizier-le-Bouchoux,200071751,13
Saint-Nizier-le-Désert,200069193,33
Sainte-Olive,200069193,6
Saint-Paul-de-Varax,200069193,51
Saint-Rambert-en-Bugey,240100883,73
Saint-Rémy,200071751,21
Saint-Sorlin-en-Bugey,240100883,25
Saint-Sulpice,200071751,7
Saint-Trivier-de-Courtes,200071751,26
Saint-Trivier-sur-Moignans,200069193,66
Saint-Vulbas,240100883,22
Salavre,200071751,4
Samognat,200042935,15
Sandrans,200069193,19
Sault-Brénaz,240100883,44
Sauverny,240100750,36
Savigneux,200042497,34
Ségny,240100750,65
Seillonnaz,240100883,5
Sergy,240100750,46
Sermoyer,200071371,10
Serrières-de-Briord,240100883,41
Serrières-sur-Ain,200029999,1
Servas,200071751,39
Servignat,200071751,4
Seyssel,200070852,35
Simandre-sur-Suran,200071751,20
Sonthonnax-la-Montagne,200042935,3
Souclin,240100883,13
Sulignat,200069193,16
Talissieu,200040350,12
Tenay,240100883,25
Thil,240100800,37
Thoiry,240100750,145
Thoissey,200070118,77
Torcieu,240100883,18
Tossiat,200071751,22
Toussieux,200042497,43
Tramoyes,240100800,55
La Tranclière,200071751,8
Val-Revermont,200071751,61
Trévoux,200042497,231
Valeins,200069193,6
Vandeins,200071751,18
Varambon,200029999,10
Vaux-en-Bugey,240100883,34
Verjon,200071751,10
Vernoux,200071751,11
Versailleux,200069193,9
Versonnex,240100750,67
Vesancy,240100750,11
Vescours,200071751,0
Vésines,200071371,1
Vieu-d'Izenave,200042935,18
Villars-les-Dombes,200069193,169
Villebois,240100883,27
Villemotier,200071751,15
Villeneuve,200042497,58
Villereversure,200071751,36
Villes,240100891,9
Villette-sur-Ain,200069193,16
Villieu-Loyes-Mollon,240100883,110
Viriat,200071751,227
Virieu-le-Grand,200040350,48
Arvière-en-Valromey,200040350,11
Virignin,200040350,27
Vongnes,200040350,2
Vonnas,200070555,118
Abbécourt,200071785,12
Achery,200071785,28
Acy,240200477,26
Agnicourt-et-Séchelles,240200469,5
Aguilcourt,240200576,7
Aisonville-et-Bernoville,200071983,7
Aizelles,240200592,8
Aizy-Jouy,240200501,6
Alaincourt,200040426,8
Allemant,240200501,3
Ambleny,200071991,38
Ambrief,240200519,1
Amifontaine,240200576,8
Amigny-Rouy,200071785,13
Ancienville,200071991,1
Andelain,200071785,3
Anguilcourt-le-Sart,200071785,8
Anizy-le-Grand,200071769,93
Annois,200071892,11
Any-Martin-Rieux,240200600,6
Archon,240200634,4
Arcy-Sainte-Restitue,240200519,9
Armentières-sur-Ourcq,200072031,2
Arrancy,200043495,0
Artemps,200071892,13
Assis-sur-Serre,240200469,10
Athies-sous-Laon,200043495,58
Attilly,240200493,5
Aubencheul-aux-Bois,240200493,7
Aubenton,240200600,16
Aubigny-aux-Kaisnes,200071892,9
Aubigny-en-Laonnois,240200592,3
Audignicourt,200071991,3
Audigny,200071983,5
Augy,240200501,2
Aulnois-sous-Laon,200043495,37
Les Autels,240200634,2
Autremencourt,240200469,11
Autreppes,240200444,5
Autreville,200071785,19
Azy-sur-Marne,200072031,13
Bagneux,240200477,1
Bancigny,240200444,0
Barenton-Bugny,240200469,16
Barenton-Cel,240200469,4
Barenton-sur-Serre,240200469,5
Barisis-aux-Bois,200071769,18
Barzy-en-Thiérache,240200444,10
Barzy-sur-Marne,200072031,8
Bassoles-Aulers,200071769,3
Vallées en Champagne,200072031,13
Bazoches-et-Saint-Thibaut,240200501,17
Beaumé,240200600,2
Beaumont-en-Beine,200071785,5
Beaurevoir,240200493,53
Beaurieux,240200592,17
Beautor,200071785,92
Beauvois-en-Vermandois,240200493,8
Becquigny,240200493,8
Belleau,200072031,3
Bellenglise,240200493,11
Belleu,240200477,116
Bellicourt,240200493,20
Benay,200040426,5
Bergues-sur-Sambre,240200444,4
Berlancourt,240200444,0
Berlise,240200634,1
Bernot,200071983,13
Berny-Rivière,200071991,20
Berrieux,240200592,1
Berry-au-Bac,240200576,15
Bertaucourt-Epourdon,200071785,14
Berthenicourt,200040426,2
Bertricourt,240200576,1
Besmé,200071769,7
Besmont,240200600,2
Besny-et-Loizy,200043495,10
Béthancourt-en-Vaux,200071785,18
Beugneux,240200519,1
Beuvardes,200072031,20
Bézu-le-Guéry,240200584,3
Bézu-Saint-Germain,200072031,22
Bichancourt,200071785,30
Bieuxy,200071991,0
Bièvres,200043495,0
Billy-sur-Aisne,240200477,28
Billy-sur-Ourcq,240200519,8
Blanzy-lès-Fismes,240200501,0
Blérancourt,200071769,44
Blesmes,200072031,10
Bohain-en-Vermandois,240200493,223
Bois-lès-Pargny,240200469,3
Boncourt,240200576,2
Bonneil,200072031,9
Bonnesvalyn,200072031,8
Bony,240200493,7
Bosmont-sur-Serre,240200469,3
Bouconville-Vauclair,240200592,4
Boué,240200444,50
Bouffignereux,240200576,2
Bouresches,200072031,2
Bourg-et-Comin,240200592,26
Bourguignon-sous-Coucy,200071769,2
Bourguignon-sous-Montbavin,200071769,3
La Bouteille,240200444,11
Braine,240200501,78
Brancourt-en-Laonnois,200071769,36
Brancourt-le-Grand,240200493,18
Brasles,200072031,48
Braye-en-Laonnois,240200592,7
Braye-en-Thiérache,240200444,2
Bray-Saint-Christophe,200071892,6
Braye,240200501,3
Brécy,200072031,8
Brenelle,240200501,5
Breny,240200519,5
Brie,200071785,0
Brissay-Choigny,200040426,7
Brissy-Hamégicourt,200040426,17
Brumetz,200072031,9
Brunehamel,240200634,6
Bruyères-sur-Fère,200072031,5
Bruyères-et-Montbérault,200043495,44
Bruys,240200501,0
Bucilly,240200600,2
Bucy-le-Long,240200501,50
Bucy-lès-Cerny,200043495,1
Bucy-lès-Pierrepont,240200576,18
Buire,240200600,21
Buironfosse,240200444,25
Burelles,240200444,5
Bussiares,200072031,8
Buzancy,240200519,3
Caillouël-Crépigny,200071785,11
Camelin,200071769,9
La Capelle,240200444,56
Castres,200071892,9
Le Catelet,240200493,4
Caulaincourt,240200493,3
Caumont,200071785,11
