INSEE;NOM;EPCI;DEP;REG;F0-2;F3-5;F6-10;F11-17;F18-24;F25-39;F40-54;F55-64;F65-79;F80+;;H0-2;H3-5;H6-10;H11-17;H18-24;H25-39;H40-54;H55-64;H65-79;H80+
1001;L'Abergement-Clémenciat;200069193;D1;R84;13;13;19;37;14;70;85;60;64;20;;18;14;35;40;14;72;82;61;55;18
1002;L'Abergement-de-Varey;240100883;D1;R84;3;6;12;12;5;20;34;12;12;7;;3;6;7;22;6;20;37;11;16;9
1004;Ambérieu-en-Bugey;240100883;D1;R84;295;245;383;599;681;1451;1269;903;1065;517;;256;290;486;613;669;1543;1238;783;750;252
1005;Ambérieux-en-Dombes;200042497;D1;R84;28;33;60;79;50;184;190;117;104;44;;35;36;65;78;51;181;183;124;108;32
1006;Ambléon;200040350;D1;R84;1;2;2;1;2;10;7;10;15;4;;2;1;2;1;4;12;11;14;11;2
1007;Ambronay;240100883;D1;R84;56;57;113;130;78;294;289;168;187;70;;60;55;109;151;65;297;269;172;168;41
1008;Ambutrix;240100883;D1;R84;11;15;24;35;24;85;84;47;42;11;;10;13;24;34;28;85;88;54;42;9
1009;Andert-et-Condon;200040350;D1;R84;3;5;6;15;8;22;35;21;32;15;;2;3;13;16;10;19;36;21;35;10
1010;Anglefort;200070852;D1;R84;19;26;49;58;22;116;112;52;75;32;;21;22;50;46;24;116;113;71;63;13
1011;Apremont;200042935;D1;R84;7;8;15;21;5;33;40;20;30;3;;8;7;18;15;6;28;47;26;32;2
1012;Aranc;200042935;D1;R84;3;5;5;17;5;27;26;27;30;14;;6;8;15;17;6;23;28;23;27;14
1013;Arandas;240100883;D1;R84;2;3;5;4;5;8;18;9;11;2;;5;3;4;7;2;7;22;11;14;2
1014;Arbent;200042935;D1;R84;45;55;119;149;90;262;350;238;280;109;;39;45;125;167;103;274;363;211;252;59
1015;Arboys en Bugey;200040350;D1;R84;8;6;14;29;21;56;67;45;61;25;;8;10;22;28;18;49;65;44;69;13
1016;Arbigny;200071371;D1;R84;8;9;20;30;6;38;53;22;33;18;;2;11;15;27;8;33;53;25;40;7
1017;Argis;240100883;D1;R84;7;4;18;25;14;33;41;27;42;12;;8;6;18;17;9;33;57;25;37;11
1019;Armix;200040350;D1;R84;0;0;1;0;1;1;1;4;2;0;;0;1;1;0;1;3;1;3;6;0
1021;Ars-sur-Formans;200042497;D1;R84;21;31;49;81;44;126;171;100;115;29;;18;36;46;77;60;131;172;87;78;21
1022;Artemare;200040350;D1;R84;5;14;35;52;34;85;134;85;119;63;;14;17;44;59;47;76;111;76;112;30
1023;Asnières-sur-Saône;200071371;D1;R84;5;1;0;3;0;8;7;7;5;0;;1;3;0;4;3;7;7;6;7;2
1024;Attignat;200071751;D1;R84;52;66;121;165;93;307;370;190;218;85;;48;68;128;168;110;305;350;185;217;53
1025;Bâgé-Dommartin;200071371;D1;R84;58;93;149;204;102;350;468;262;245;89;;77;87;150;236;108;341;465;253;263;69
1026;Bâgé-le-Châtel;200071371;D1;R84;12;15;32;40;28;111;66;65;77;75;;18;25;28;32;29;99;70;59;69;27
1027;Balan;240100610;D1;R84;58;53;74;90;156;267;200;107;113;19;;51;55;98;111;343;408;212;116;103;14
1028;Baneins;200069193;D1;R84;11;19;23;36;11;65;55;49;36;14;;12;11;32;36;12;44;61;40;47;11
1029;Beaupont;200071751;D1;R84;6;12;34;27;11;64;77;48;42;18;;10;14;18;27;16;63;79;55;36;24
1030;Beauregard;200042497;D1;R84;14;15;23;41;26;85;92;61;47;21;;12;13;36;40;29;77;76;54;44;16
1031;Bellignat;200042935;D1;R84;68;73;138;165;155;351;342;256;245;94;;65;64;132;173;150;367;363;192;223;53
1032;Béligneux;240100610;D1;R84;82;102;148;172;107;409;300;175;173;92;;99;86;166;176;92;366;316;164;145;46
1033;Valserhône;240100891;D1;R84;301;333;542;689;562;1684;1675;996;1020;508;;375;303;586;797;600;1637;1804;875;878;268
1034;Belley;200040350;D1;R84;116;126;250;465;274;725;816;636;859;566;;105;125;275;469;347;708;819;547;688;291
1035;Belleydoux;200042935;D1;R84;5;5;12;14;4;23;33;30;23;6;;2;2;7;15;5;19;43;31;23;6
1036;Valromey-sur-Séran;200040350;D1;R84;18;13;41;54;16;88;125;122;138;47;;11;24;41;69;28;83;130;109;138;39
1037;Bénonces;240100883;D1;R84;2;5;8;11;3;22;30;18;21;5;;5;8;11;20;5;35;39;23;31;6
1038;Bény;200071751;D1;R84;10;8;22;45;17;65;70;54;58;27;;21;10;25;30;31;61;78;48;62;16
1040;Béréziat;200071751;D1;R84;8;5;18;26;11;45;50;29;29;13;;8;11;18;33;13;35;62;35;22;9
1041;Bettant;240100883;D1;R84;7;19;24;33;18;65;87;60;46;27;;14;14;27;24;26;72;84;45;48;10
1042;Bey;200070555;D1;R84;1;2;9;12;5;20;35;19;20;3;;2;5;15;27;5;21;38;25;22;4
1043;Beynost;240100800;D1;R84;59;78;178;246;155;364;584;316;344;139;;64;87;195;238;198;332;529;323;304;97
1044;Billiat;240100891;D1;R84;8;9;29;40;21;67;60;30;37;14;;8;17;18;32;26;64;70;29;34;16
1045;Birieux;200069193;D1;R84;3;6;10;17;3;31;33;12;14;7;;7;7;15;19;4;33;33;11;15;2
1046;Biziat;200070555;D1;R84;13;23;44;47;23;94;96;58;41;22;;13;29;34;40;29;78;99;65;45;18
1047;Blyes;240100883;D1;R84;27;28;48;66;26;149;138;57;48;19;;39;32;57;74;40;145;147;79;41;9
1049;La Boisse;240100610;D1;R84;71;65;120;152;95;312;343;229;195;77;;70;71;142;185;109;281;355;211;186;66
1050;Boissey;200071371;D1;R84;6;12;22;27;5;42;31;21;12;11;;12;9;19;14;10;42;34;24;15;12
1051;Bolozon;200042935;D1;R84;2;1;1;1;0;8;9;8;8;4;;4;1;2;0;1;8;8;8;12;3
1052;Bouligneux;200069193;D1;R84;7;3;10;15;12;22;38;22;30;9;;3;5;7;12;15;21;38;20;30;9
