nom_standard,F18-24,population,POURCENTAGE_ETUDIANTS
Massy,785.0,50833,1.5442724214585015
Le Port,619.0,32784,1.8881161542215714
Sainte-Geneviève-des-Bois,722.0,36944,1.9543092247726288
Goussainville,930.0,32217,2.8866747369401247
Millau,695.0,21482,3.235266734940881
Ajaccio,2496.0,72647,3.4357922557022316
Saint-Louis,2833.0,79683,3.5553380269317167
Gap,1518.0,40111,3.78449801800005
Franconville,1435.0,37411,3.835770228007805
Biscarrosse,547.0,14034,3.897677069972923
Romilly-sur-Seine,590.0,14623,4.034739793476031
Montreuil,4603.0,112703,4.084185869054062
Valserhône,686.0,16434,4.174272848971644
Creutzwald,557.0,12772,4.361102411525211
Fresnes,1308.0,29950,4.367278797996661
Saint-Gratien,938.0,21297,4.404376203221111
Montauban,2768.0,61677,4.487896622728083
Vierzon,1155.0,25045,4.611698941904572
Bastia,2257.0,48296,4.673264866655623
Obernai,567.0,12015,4.719101123595506
Bollène,659.0,13830,4.765003615328995
Villefranche-de-Rouergue,559.0,11681,4.785549182433011
Porto-Vecchio,533.0,11040,4.827898550724638
Romorantin-Lanthenay,887.0,18206,4.872020213116555
Gien,649.0,13305,4.8778654641112364
Saint-Brevin-les-Pins,709.0,14473,4.89877703309611
Montélimar,1959.0,39790,4.923347574767529
Fréjus,2748.0,55750,4.92914798206278
L'Isle-sur-la-Sorgue,993.0,20029,4.957811173797992
Saint-André,3042.0,61182,4.972050603118564
Buxerolles,503.0,10034,5.012955949770779
Issoudun,570.0,11314,5.038006010252785
Arles,2594.0,50968,5.089467901428348
Saint-Pierre,4610.0,89817,5.132658628099358
Château-Gontier-sur-Mayenne,873.0,16845,5.182546749777382
Annecy,6840.0,131766,5.191020445334912
Saint-Malo,2446.0,46995,5.204809022236408
Apt,580.0,10889,5.326476260446322
Grasse,2596.0,48708,5.329719963866306
Les Herbiers,868.0,16266,5.336284273945654
Orange,1521.0,28454,5.3454698812117805
Dieppe,1510.0,28091,5.375387134669467
Béziers,4234.0,78683,5.381086130422073
Châteauroux,2374.0,43331,5.478756548429531
Concarneau,1116.0,20209,5.522292048097382
Igny,577.0,10368,5.56520061728395
Challans,1225.0,21900,5.5936073059360725
Valréas,525.0,9381,5.596418292292933
Vitry-le-François,652.0,11458,5.690347355559434
Fouesnant,574.0,10060,5.705765407554672
Bergerac,1519.0,26360,5.762518968133536
Châtillon,2245.0,38930,5.76676085281274
Montluçon,1961.0,33822,5.79800130092839
Cahors,1173.0,20159,5.81874100897862
Cavaillon,1509.0,25832,5.841591824094147
Pontarlier,1043.0,17738,5.880031570639305
Saintes,1500.0,25412,5.902723122934047
Auch,1334.0,22518,5.924149569233502
Paris,127767.0,2145906,5.953988664927541
Saint-Amand-Montrond,568.0,9490,5.985247629083245
Dinard,622.0,10235,6.077186126038105
Lunel,1602.0,26356,6.078312338746396
Amboise,766.0,12569,6.094359137560665
Oloron-Sainte-Marie,651.0,10653,6.11095466065897
Saint-Quentin,3262.0,53100,6.143126177024482
Cestas,1041.0,16932,6.148121899362154
Villeneuve-sur-Lot,1337.0,21690,6.164130935915169
Bourges,3982.0,64362,6.18688045741276
Calais,4193.0,67544,6.20780528248253
Thionville,2571.0,41383,6.2126960346035816
Segré-en-Anjou Bleu,1102.0,17660,6.240090600226501
Colmar,4266.0,68294,6.2465223884967935
Cannes,4540.0,72435,6.26768827224408
Mont-de-Marsan,1884.0,29953,6.289854104764131
Limoux,644.0,10161,6.3379588623167
Petit-Caux,612.0,9654,6.339341205717837
Guéret,805.0,12698,6.339581036383682
La Flèche,959.0,15078,6.360259981429898
Fontenay-le-Comte,841.0,13138,6.401278733444969
Tarnos,829.0,12914,6.4193898095090605
Niort,3808.0,58966,6.457958823728928
Mende,803.0,12336,6.50940337224384
Fécamp,1176.0,18054,6.51379195746095
Le Havre,10824.0,165830,6.527166375203522
Bayeux,827.0,12640,6.542721518987342
Montaigu-Vendée,1347.0,20578,6.545825639031976
Carpentras,1969.0,29865,6.593001841620626
Saint-Rémy-de-Provence,640.0,9692,6.60338423442014
La Teste-de-Buch,1735.0,26269,6.604743233469108
