LIBGEO_25,pp_total_24,pp_total_23,pp_total_22,pp_total_21,pp_total_20,EPCI_25,pp_totaux
L'Abergement-Clémenciat,15,15,27,16,20,200069193,12.4
L'Abergement-de-Varey,11,0,0,0,13,240100883,4.8
Ambérieu-en-Bugey,828,814,787,868,842,240100883,458.0
Ambérieux-en-Dombes,61,39,58,88,38,200042497,31.4
Ambléon,0,0,0,11,0,200040350,0.0
Ambronay,148,130,115,130,136,240100883,73.8
Ambutrix,27,23,19,21,23,240100883,13.8
Andert-et-Condon,27,16,12,23,23,200040350,12.4
Anglefort,61,77,73,85,99,200070852,46.8
Apremont,17,28,21,23,19,200042935,11.4
Aranc,20,38,27,28,28,200042935,17.4
Arandas,0,13,0,12,12,240100883,2.4
Arbent,138,171,160,150,139,200042935,81.0
Arboys en Bugey,31,59,53,57,57,200040350,29.6
Arbigny,24,22,24,22,23,200071371,14.2
Argis,60,97,89,85,94,240100883,48.2
Armix,0,0,0,0,0,200040350,0.0
Ars-sur-Formans,24,42,43,34,27,200042497,18.8
Artemare,79,106,100,108,108,200040350,58.0
Asnières-sur-Saône,0,0,0,0,0,200071371,0.0
Attignat,104,119,179,138,142,200071751,82.8
Bâgé-Dommartin,165,160,174,170,172,200071371,93.2
Bâgé-le-Châtel,44,58,62,63,55,200071371,32.4
Balan,49,50,31,37,52,240100610,26.4
Baneins,37,42,17,45,20,200069193,14.8
Beaupont,36,37,56,63,43,200071751,24.0
Beauregard,41,44,61,62,67,200042497,30.6
Bellignat,169,226,173,176,149,200042935,92.2
Béligneux,96,98,64,64,48,240100610,44.0
Valserhône,1596,1653,1491,1440,1388,240100891,829.6
Belley,831,893,803,841,838,200040350,457.8
Belleydoux,28,36,55,46,41,200042935,21.4
Valromey-sur-Séran,138,155,147,176,131,200040350,83.4
Bénonces,32,39,23,25,38,240100883,19.0
Bény,35,34,25,22,30,200071751,18.0
Béréziat,19,14,14,16,14,200071751,9.4
Bettant,39,60,59,43,46,240100883,28.6
Bey,0,0,0,0,0,200070555,0.0
Beynost,232,143,110,105,123,240100800,89.8
Billiat,34,29,29,59,58,240100891,24.6
Birieux,0,0,11,0,0,200069193,2.2
Biziat,26,20,21,25,25,200070555,14.4
Blyes,27,44,28,26,23,240100883,15.6
La Boisse,134,113,104,97,108,240100610,64.2
Boissey,12,0,11,16,20,200071371,8.6
Bolozon,0,13,16,17,15,200042935,6.2
Bouligneux,19,16,14,17,0,200069193,6.6
Bourg-en-Bresse,3251,3943,3792,4063,4002,200071751,2027.0
Bourg-Saint-Christophe,40,38,25,26,42,240100883,21.4
Boyeux-Saint-Jérôme,36,28,30,34,32,200029999,19.6
Boz,20,25,24,20,36,200071371,13.8
Brégnier-Cordon,57,74,65,68,59,200040350,37.2
Brénod,51,87,81,98,52,200042935,45.2
Brens,33,52,41,38,31,200040350,23.8
Bressolles,25,27,25,32,26,240100610,15.2
Brion,19,21,16,22,19,200042935,10.8
Briord,41,58,57,65,62,240100883,33.2
Buellas,57,55,72,73,68,200071751,36.6
La Burbanche,15,16,16,17,17,200040350,9.6
Ceignes,18,18,16,12,17,200042935,10.2
Cerdon,131,120,132,130,125,200029999,69.2
Certines,33,30,35,44,47,200071751,23.2
Cessy,349,428,379,321,332,240100750,194.0
Ceyzériat,162,179,192,165,168,200071751,95.4
Ceyzérieu,67,125,121,126,117,200040350,63.0
Chalamont,111,118,87,123,116,200069193,59.0
Chaleins,50,99,67,86,64,200070118,37.4
Chaley,17,17,17,20,22,240100883,11.2
Challes-la-Montagne,28,19,19,18,12,200029999,11.8
Challex,84,98,88,89,122,240100750,58.6
