nom_standard,reg_code,reg_nom,dep_code,dep_nom,EPCI,population,superficie_km2,densite,NOM,F18-24
Attignat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,3299,19,176.51,Bourg-en-Bresse,2226.0
Beaupont,84,Auvergne-Rhône-Alpes,01,Ain,200071751,683,14,48.54,Bourg-en-Bresse,2226.0
Bény,84,Auvergne-Rhône-Alpes,01,Ain,200071751,759,18,41.59,Bourg-en-Bresse,2226.0
Béréziat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,480,11,44.32,Bourg-en-Bresse,2226.0
Bourg-en-Bresse,84,Auvergne-Rhône-Alpes,01,Ain,200071751,41681,24,1746.9,Bourg-en-Bresse,2226.0
Buellas,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1825,10,178.75,Bourg-en-Bresse,2226.0
Certines,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1514,16,95.1,Bourg-en-Bresse,2226.0
Ceyzériat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,3202,9,342.09,Bourg-en-Bresse,2226.0
Nivigne et Suran,84,Auvergne-Rhône-Alpes,01,Ain,200071751,843,22,27.21,Bourg-en-Bresse,2226.0
Cize,84,Auvergne-Rhône-Alpes,01,Ain,200071751,178,4,39.38,Bourg-en-Bresse,2226.0
Coligny,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1161,17,68.82,Bourg-en-Bresse,2226.0
Confrançon,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1339,18,73.69,Bourg-en-Bresse,2226.0
Cormoz,84,Auvergne-Rhône-Alpes,01,Ain,200071751,702,20,35.89,Bourg-en-Bresse,2226.0
Corveissiat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,604,23,26.62,Bourg-en-Bresse,2226.0
Courmangoux,84,Auvergne-Rhône-Alpes,01,Ain,200071751,506,15,34.14,Bourg-en-Bresse,2226.0
Courtes,84,Auvergne-Rhône-Alpes,01,Ain,200071751,301,9,33.22,Bourg-en-Bresse,2226.0
Bresse Vallons,84,Auvergne-Rhône-Alpes,01,Ain,200071751,2368,14,91.15,Bourg-en-Bresse,2226.0
Curciat-Dongalon,84,Auvergne-Rhône-Alpes,01,Ain,200071751,444,24,18.55,Bourg-en-Bresse,2226.0
Curtafond,84,Auvergne-Rhône-Alpes,01,Ain,200071751,764,13,61.56,Bourg-en-Bresse,2226.0
Dompierre-sur-Veyle,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1190,29,40.89,Bourg-en-Bresse,2226.0
Domsure,84,Auvergne-Rhône-Alpes,01,Ain,200071751,509,15,33.49,Bourg-en-Bresse,2226.0
Drom,84,Auvergne-Rhône-Alpes,01,Ain,200071751,214,8,27.51,Bourg-en-Bresse,2226.0
Druillat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1139,21,54.97,Bourg-en-Bresse,2226.0
Foissiat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,2016,40,49.95,Bourg-en-Bresse,2226.0
Grand-Corent,84,Auvergne-Rhône-Alpes,01,Ain,200071751,184,7,25.81,Bourg-en-Bresse,2226.0
Hautecourt-Romanèche,84,Auvergne-Rhône-Alpes,01,Ain,200071751,756,21,35.0,Bourg-en-Bresse,2226.0
Jassans-Riottier,84,Auvergne-Rhône-Alpes,01,Ain,200040590,6337,5,1317.46,Villefranche-sur-Saône,1507.0
Jasseron,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1822,19,96.25,Bourg-en-Bresse,2226.0
Jayat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1241,16,76.13,Bourg-en-Bresse,2226.0
Journans,84,Auvergne-Rhône-Alpes,01,Ain,200071751,377,2,155.14,Bourg-en-Bresse,2226.0
Lent,84,Auvergne-Rhône-Alpes,01,Ain,200071751,1397,32,44.38,Bourg-en-Bresse,2226.0
Lescheroux,84,Auvergne-Rhône-Alpes,01,Ain,200071751,712,20,35.51,Bourg-en-Bresse,2226.0
